

 Program UNIPLOT                         version 05.29.00
 _______________
 (c) Fugro Engineers B.V., Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT_WFS1_01.000                         
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq_Seafloor.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :13:19:13
 Project number                        :N6016/02 (2)                                                                                        
 Date of testing                       :10-May-2015                                                                                         
 Location                              :CPT_WFS1_1                                                                                          
 Test name                             :CPT_WFS1_1
 Penetrometer                          :CP15-CF75PB20SN2
 Serial no                             :1701-2483

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
    1    0.000   1462.00     0.0013     0.0016     0.0016                           0.5650                      
    2    0.020   1463.06     0.0222     0.0223     0.0227                0.0014     0.0421                      
    3    0.040   1464.17     0.0767     0.0765     0.0773                0.0017     0.0157                      
    4    0.060   1465.13     0.1536     0.1533     0.1545     0.0010     0.0019     0.0092     0.9465           
    5    0.080   1466.09     0.2276     0.2269     0.2285     0.0014     0.0023     0.0059     0.7035           
    6    0.100   1467.15     0.3002     0.2992     0.3012     0.0021     0.0025     0.0047     0.7987           
    7    0.120   1468.11     0.4285     0.4270     0.4294     0.0028     0.0021     0.0024     0.7938           
    8    0.140   1469.17     0.5790     0.5770     0.5798     0.0036     0.0020     0.0011     0.7120           
    9    0.160   1470.25     0.7744     0.7719     0.7751     0.0049     0.0018     0.0003     0.7177           
   10    0.180   1471.30     1.0040     1.0011     1.0047     0.0059     0.0015    -0.0003     0.6602           
   11    0.200   1472.22     1.1855     1.1822     1.1862     0.0067     0.0019    -0.0002     0.5989           
   12    0.220   1473.27     1.3361     1.3326     1.3370     0.0074     0.0025     0.0000     0.5683           
   13    0.240   1474.30     1.4550     1.4515     1.4563     0.0075     0.0033     0.0005     0.5310           
   14    0.260   1475.35     1.5698     1.5662     1.5714     0.0077     0.0039     0.0007     0.5033           
   15    0.280   1476.33     1.6893     1.6854     1.6910     0.0081     0.0043     0.0008     0.4946           
   16    0.300   1477.45     1.8209     1.8166     1.8226     0.0087     0.0041     0.0006     0.4893           
   17    0.320   1478.56     1.9891     1.9845     1.9909     0.0095     0.0042     0.0005     0.4930           
