

 Program UNIPLOT                         version 05.26.04
 _______________
 (c) Fugro Engineers BV, Leidschendam, Holland


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT-7C.002                              
 Output using command file : Seacalf qc 5MPa.cmd

 ASCII file created at : date          :04-Nov-2014
                         time          :16:02:16
 Project number                        :N5955/02 (1)                                                                                        
 Date of testing                       :28-Oct-2014                                                                                         
 Location                              :CPT-7C                                                                                              
 Test name                             :CPT-7C.002
 Penetrometer                          :CP15-CF75PB30SN2
 Serial no                             :1701-2588

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 SlopeOmni                             :Slope, Slope [Deg]


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2  SlopeOmni
   No        m         s        MPa        MPa        MPa        Deg
    1    0.000   2543.63     0.0737                           4.7199
    2    0.020   2545.06     0.1025                0.0007     4.7120
    3    0.040   2546.09     0.1609                0.0008     4.6951
    4    0.060   2547.25     0.2401     0.0020     0.0008     4.6921
    5    0.080   2548.13     0.2970     0.0022     0.0012     4.6937
    6    0.100   2548.90     0.3425     0.0028     0.0012     4.7028
    7    0.120   2549.84     0.4129     0.0033     0.0009     4.7201
    8    0.140   2550.85     0.5427     0.0037     0.0012     4.7273
    9    0.160   2551.76     0.7140     0.0045     0.0012     4.7110
   10    0.180   2552.63     0.8465     0.0052     0.0017     4.6734
   11    0.200   2553.54     1.0045     0.0066     0.0015     4.6806
   12    0.220   2554.43     1.1558     0.0076     0.0020     4.7095
   13    0.240   2555.30     1.3189     0.0087     0.0025     4.6721
   14    0.260   2556.26     1.4717     0.0090     0.0027     4.6733
   15    0.280   2557.13     1.6019     0.0100     0.0029     4.7287
   16    0.300   2557.95     1.7234     0.0093     0.0035     4.7019
   17    0.320   2558.83     1.8686     0.0088     0.0034     4.7235
   18    0.340   2559.71     1.9665     0.0084     0.0037     4.7454
   19    0.360   2560.73     2.0399     0.0085     0.0045     4.7949
   20    0.380   2561.61     2.0968     0.0090     0.0045     4.7935
   21    0.400   2562.50     2.0886     0.0103     0.0048     4.7563
   22    0.420   2563.25     2.0555     0.0124     0.0051     4.7476
   23    0.440   2564.32     2.2467     0.0152     0.0046     4.7549
   24    0.460   2565.19     2.4193     0.0167     0.0049     4.7410
   25    0.480   2565.99     2.5896     0.0180     0.0048     4.7376
   26    0.500   2566.88     2.7239     0.0192     0.0052     4.7362
   27    0.520   2567.84     2.8549     0.0191     0.0056     4.7211
   28    0.540   2568.78     3.0032     0.0184     0.0061     4.6819
   29    0.560   2569.70     3.1451     0.0178     0.0063     4.6754
   30    0.580   2570.60     3.3119     0.0176     0.0062     4.6415
   31    0.600   2571.45     3.5249     0.0181     0.0061     4.6310
   32    0.620   2572.38     3.8008     0.0196     0.0061     4.6345
   33    0.640   2573.33     4.0946     0.0214     0.0065     4.6447
   34    0.660   2574.20     4.4081     0.0237     0.0068     4.6315
   35    0.680   2575.16     4.7617     0.0262     0.0066     4.6301
   36    0.700   2576.04     5.0719     0.0287     0.0068     4.6452
   37    0.720   2576.82     5.3489     0.0312     0.0071     4.6626
   38    0.740   2577.78     5.5385     0.0331     0.0075     4.6601
   39    0.760   2578.75     5.6645     0.0348     0.0079     4.6607
   40    0.780   2579.49     5.7919     0.0367     0.0082     4.6674
   41    0.800   2580.44     5.8749     0.0383     0.0085     4.6750
   42    0.820   2581.36     5.8984     0.0386     0.0086     4.6697
   43    0.840   2582.18     5.8648     0.0385     0.0090     4.6510
   44    0.860   2583.13     5.8553     0.0373     0.0098     4.6916
   45    0.880   2584.03     5.9296     0.0362     0.0102     4.6940
   46    0.900   2584.94     6.1180     0.0366     0.0104     4.7133
   47    0.920   2585.79     6.4773     0.0378     0.0102     4.7397
   48    0.940   2586.59     7.0515     0.0404     0.0097     4.7521
   49    0.960   2587.60     7.6778     0.0420     0.0097     4.7609
   50    0.980   2588.51     8.2036     0.0437     0.0100     4.7780
   51    1.000   2589.28     8.6134     0.0457     0.0100     4.8029
   52    1.020   2590.31     8.9945     0.0483     0.0103     4.8099
   53    1.040   2591.22     9.3974     0.0510     0.0104     4.7971
   54    1.060   2592.18     9.8513     0.0527     0.0107     4.8088
   55    1.080   2593.05    10.3252     0.0557     0.0107     4.8023
   56    1.100   2593.90    10.7552     0.0592     0.0113     4.8224
   57    1.120   2594.88    11.1878     0.0616     0.0111     4.8233
   58    1.140   2595.85    11.5095     0.0628     0.0112     4.8216
   59    1.160   2596.88    11.6885     0.0644     0.0120     4.8068
   60    1.180   2597.81    11.9154     0.0662     0.0118     4.8187
   61    1.200   2598.79    12.2518     0.0684     0.0123     4.8092
   62    1.220   2599.83    12.5686     0.0705     0.0123     4.8408
   63    1.240   2600.74    12.8659     0.0727     0.0129     4.8292
   64    1.260   2601.56    13.1400     0.0748     0.0129     4.8455
   65    1.280   2602.48    13.3945     0.0760     0.0132     4.8112
   66    1.300   2603.39    13.5953     0.0767     0.0134     4.8077
   67    1.320   2604.38    13.6437     0.0774     0.0136     4.8206
   68    1.340   2605.12    13.6339     0.0783     0.0140     4.7818
