Projektnummer           ,6409098
Sondierung              ,CPT06
Projektbezeichnung      ,
Datum der Sondierung    ,03-Aug-2009

   Tiefe,    Conus,  Reibung,  Neigung, PW-Druck,       Rf,   Geschw
     (m),    (MPa),    (MPa),   (Grad),    (MPa),      (%),   (mm/s)
   16.50,    0.081,  0.00000,    0.278,    0.000,    0.000,     0.00
   16.52,    0.318,  0.00000,    0.263,    0.038,    0.000,    14.83
   16.54,    0.448,  0.00000,    0.254,    0.035,    0.000,    16.57
   16.56,    0.734,  0.01906,    0.255,    0.019,    3.060,    17.44
   16.58,    1.360,  0.02414,    0.259,    0.028,    1.825,    17.16
   16.60,    2.452,  0.02440,    0.418,    0.030,    1.156,    16.01
   16.62,    2.920,  0.02571,    0.577,    0.033,    0.933,    16.94
   16.64,    4.329,  0.03082,    0.562,   -0.002,    0.725,    15.24
   16.66,    5.434,  0.03914,    0.553,   -0.092,    0.752,    14.52
   16.68,    6.615,  0.04573,    0.547,   -0.121,    0.699,    14.03
   16.70,    7.332,  0.05147,    0.550,   -0.089,    0.719,    15.21
   16.72,    7.667,  0.05568,    0.547,   -0.064,    0.730,    16.72
   16.74,    8.066,  0.06050,    0.542,   -0.073,    0.758,    17.32
   16.76,    8.470,  0.06154,    0.540,   -0.087,    0.738,    17.60
   16.78,    8.699,  0.06491,    0.539,   -0.101,    0.748,    18.41
   16.80,    8.810,  0.07030,    0.541,   -0.110,    0.798,    18.91
   16.82,    8.870,  0.06251,    0.539,   -0.122,    0.706,    19.79
   16.84,    8.961,  0.05784,    0.532,   -0.173,    0.646,    19.83
   16.86,    9.047,  0.05688,    0.534,   -0.186,    0.630,    19.83
   16.88,    9.117,  0.05618,    0.533,   -0.201,    0.617,    19.83
   16.90,    9.235,  0.05538,    0.535,   -0.309,    0.603,    20.24
   16.92,    9.196,  0.05524,    0.524,   -0.305,    0.598,    20.68
   16.94,    9.080,  0.05414,    0.523,   -0.287,    0.593,    20.66
   16.96,    9.012,  0.05774,    0.525,   -0.273,    0.639,    20.64
   16.98,    8.948,  0.05881,    0.522,   -0.261,    0.656,    21.05
   17.00,    8.863,  0.05644,    0.525,   -0.249,    0.635,    20.68
   17.02,    8.828,  0.05671,    0.520,   -0.237,    0.640,    21.12
   17.04,    8.697,  0.05720,    0.523,   -0.225,    0.653,    21.12
   17.06,    8.631,  0.06102,    0.522,   -0.212,    0.705,    21.12
   17.08,    8.552,  0.06088,    0.518,   -0.201,    0.708,    21.12
   17.10,    8.439,  0.05531,    0.520,   -0.189,    0.651,    21.47
   17.12,    8.348,  0.04954,    0.519,   -0.176,    0.593,    21.52
   17.14,    8.371,  0.05683,    0.514,   -0.164,    0.679,    21.54
   17.16,    8.303,  0.06445,    0.513,   -0.159,    0.776,    21.56
   17.18,    8.232,  0.06602,    0.517,   -0.159,    0.801,    21.56
   17.20,    7.958,  0.05579,    0.519,   -0.165,    0.699,    21.56
   17.22,    7.805,  0.04966,    0.518,   -0.152,    0.638,    21.72
   17.24,    8.107,  0.04607,    0.514,   -0.123,    0.572,    21.56
   17.26,    8.265,  0.06210,    0.511,   -0.166,    0.751,    21.98
   17.28,    8.303,  0.08424,    0.511,   -0.232,    1.014,    21.95
   17.30,    7.859,  0.10000,    0.511,   -0.233,    1.259,    22.00
   17.32,    7.175,  0.11617,    0.510,   -0.213,    1.594,    22.00
   17.34,    6.587,  0.13615,    0.510,   -0.194,    2.046,    22.00
   17.36,    6.177,  0.12562,    0.509,   -0.196,    2.023,    22.38
   17.38,    5.666,  0.09376,    0.509,   -0.343,    1.644,    22.41
   17.40,    5.054,  0.06752,    0.512,   -0.363,    1.328,    22.33
   17.42,    5.161,  0.05905,    0.514,   -0.351,    1.159,    22.20
   17.44,    6.577,  0.06107,    0.511,   -0.363,    0.948,    21.39
