,z [m],Soil type,Tertiary clay,Total unit weight [kN/m3],Water unit weight [kN/m3],Effective unit weight [kN/m3],Hydrostatic pressure [kPa],Effective vertical stress [kPa],Total vertical stress [kPa],qc [MPa],phi [deg],h/d [-],h/D [-],beta_c [rad],beta_p [rad],qp [MPa],A qp [MPa],"qp,j+1 [MPa]","qp,q+1 [MPa]",qb [MPa]
0,0.0,Sand,False,19.62,10.0,9.620000000000001,0.0,0.0,0.0,,45.0,0.0,0.0,0.0,0.0,,,0.0,,
1,0.2,Sand,False,19.62,10.0,9.620000000000001,2.0,1.9240000000000004,3.9240000000000004,,,5.602240896358543,0.25,1.4286309367843356e-12,1.4286309367843356e-12,,,,,
2,0.4,Sand,False,19.62,10.0,9.620000000000001,4.0,3.8480000000000008,7.848000000000001,,,11.204481792717086,0.5,1.4286309367843356e-12,1.4286309367843356e-12,,,,,
3,0.6000000000000001,Sand,False,19.62,10.0,9.620000000000001,6.000000000000001,5.772000000000001,11.772000000000002,,,16.80672268907563,0.7500000000000001,1.4286309367843356e-12,1.4286309367843356e-12,,,,,
4,0.8,Sand,False,19.62,10.0,9.620000000000001,8.0,7.6960000000000015,15.696000000000002,3.0,34.98992409022463,22.408963585434172,1.0,1.5707963267948966,0.2801090958658072,0.4925254585926535,1.6641320816936964,1.6641320816936964,0.5878764233030114,0.49830013785590815
5,1.0,Sand,False,19.62,10.0,9.620000000000001,10.0,9.620000000000001,19.62,2.5,32.97916093760841,28.011204481792713,1.25,1.5707963267948966,0.3760740596705008,0.5303609814200528,1.562586339452511,1.562586339452511,0.5376051593954523,0.45681131843711514
6,1.2000000000000002,Sand,False,19.62,10.0,9.620000000000001,12.000000000000002,11.544000000000002,23.544000000000004,1.5,29.344269249532573,33.61344537815126,1.5000000000000002,1.5707963267948966,0.5247185454680676,0.4626778243416564,1.224635723812305,1.224635723812305,0.4897288959805145,0.4152713582002563
7,1.4000000000000001,Sand,False,19.62,10.0,9.620000000000001,14.000000000000002,13.468000000000004,27.468000000000004,1.2999999999999998,27.70966355287567,39.21568627450981,1.75,1.5707963267948966,0.6458917732367098,0.4920350867892888,1.1942991705111439,1.1942991705111439,0.45540183363118186,0.3717391125548056
8,1.6,Sand,False,19.62,10.0,9.620000000000001,16.0,15.392000000000003,31.392000000000003,7.0,35.73265443984595,44.817927170868344,2.0,1.5707963267948966,0.47575475017802044,1.4481433583273635,3.271863853910827,1.2870104945078547,0.4208883769693807,0.3310745862584027
9,1.8,Sand,False,19.62,10.0,9.620000000000001,18.0,17.316000000000003,35.316,15.0,38.70300065981664,50.42016806722689,2.25,1.5707963267948966,0.44023038398692954,2.4506358887497903,5.211981915244651,1.462162344158234,0.3804323262090464,0.2949967045893293
10,2.0,Clay,False,19.62,10.0,9.620000000000001,20.0,19.240000000000002,39.24,7.5,34.98992409022463,56.02240896358543,2.5,1.5707963267948966,0.5900157367228397,1.9001201417882019,3.8372440905259935,1.5681503670898953,0.32990535821115813,0.27363779918440007
11,2.2,Clay,False,19.62,10.0,9.620000000000001,22.0,21.164000000000005,43.16400000000001,0.7,21.45470159245663,61.62464985994398,2.75,1.5707963267948966,1.3903776821144032,0.6074514110104158,0.7,0.7,0.2720676677532608,0.24115902945165582
12,2.4000000000000004,Clay,False,19.62,10.0,9.620000000000001,24.000000000000004,23.088000000000005,47.08800000000001,0.5,18.83463321537435,67.22689075630252,3.0000000000000004,1.5707963267948966,1.5707963267948966,0.5,0.5,0.5,0.2520792021491674,0.2276379959010037
13,2.6,Clay,False,19.62,10.0,9.620000000000001,26.0,25.012000000000004,51.012,0.7,20.430318228328776,72.82913165266106,3.25,1.5707963267948966,1.5707963267948966,0.7,0.7,0.508925,0.24049896862401404,0.21722215547117033
14,2.8000000000000003,Clay,False,19.62,10.0,9.620000000000001,28.000000000000004,26.936000000000007,54.93600000000001,1.2999999999999974,23.724616943168485,78.43137254901961,3.5,1.5707963267948966,1.5654256366339028,1.2938776280164044,1.2999999999999974,0.5442267218749999,0.22796094779433632,0.2117998617463676
15,3.0,Clay,False,19.62,10.0,9.620000000000001,30.0,28.860000000000003,58.86,0.4,15.993154962148637,84.03361344537815,3.75,1.5707963267948966,1.5707963267948966,0.4,0.4,0.4,0.2131883609375004,0.20775959023437543
16,3.2,Clay,False,19.62,10.0,9.620000000000001,32.0,30.784000000000006,62.784000000000006,0.3,13.69888368825964,89.63585434173669,4.0,1.5707963267948966,1.5707963267948966,0.3,0.3,0.3,0.20446250000000044,0.20446250000000044
17,3.4000000000000004,Clay,False,19.62,10.0,9.620000000000001,34.0,32.708000000000006,66.70800000000001,0.20000000000000046,10.601633634899526,95.23809523809524,4.25,1.5707963267948966,1.5707963267948966,0.20000000000000046,0.20000000000000046,0.20000000000000046,0.20000000000000046,0.20000000000000046
